assessment_case,route_length,time_periods,land_use_ha_gwh_served,levelised_delivered_electricity_cost,cost_passenger_km,lifecycle_emissions_co2,total_simulation_period_cost,relised_capacity_factor,grid_import_share,additional_power_system_land_requirement
route_a_solar,1114.0,365,3.81644,974.940072,0.034701,3930323.171616,20979581.554597,0.135352,0.041269,81.502433
route_a_nuclear,1114.0,365,0.042245,822.552443,0.029835,2370608.395937,18115137.520938,0.810491,0.036378,0.994795
route_a_fusion,1114.0,365,0.13863,714.466837,0.025969,2514425.524021,15755275.063485,0.712292,0.019587,2.873513
route_b_solar,563.0,365,0.427532,358.589178,0.007958,21513734.317149,62432560.280405,0.230941,0.11806,76.628107
route_b_nuclear,563.0,365,0.027705,357.944318,0.008025,17284220.748398,62839526.069048,0.812549,0.05225,4.885216
route_b_fusion,563.0,365,0.093547,289.213967,0.00644,17541361.068063,50479924.993383,0.714442,0.029351,17.467571
route_c_solar,110.0,365,3.441722,475.544045,0.020557,21920852.803541,44322662.870416,0.193689,0.025958,335.097225
route_c_nuclear,110.0,365,0.054817,487.891998,0.021142,17432973.490514,45631283.639938,0.768277,0.04924,5.339337
route_c_fusion,110.0,365,0.149929,391.878199,0.016891,16331589.249323,36440087.994057,0.692549,0.021397,14.779272
route_avg_solar,595.6666666666666,365,2.561898,603.0244316666667,0.021071999999999997,15788303.430768667,42578268.23513933,0.18666066666666667,0.061762333333333336,164.409255
route_avg_nuclear,595.6666666666666,365,0.041588999999999994,556.1295863333334,0.019667333333333332,12362600.878283,42195315.743308,0.7971056666666666,0.045956,3.7397826666666667
route_avg_fusion,595.6666666666666,365,0.12736866666666669,465.1863343333334,0.01643333333333333,12129125.280469,34225096.016975,0.7064276666666668,0.023444999999999997,11.706785333333334
route_avg_for_all_energy_types,595.6666666666666,365,0.9102852222222223,541.4467841111111,0.019057555555555557,13426676.529840222,39666226.66514078,0.5633980000000001,0.043721111111111106,59.951941
