assessment_case,route_length,time_periods,land_use_ha_gwh_served,land_use_ha_gwh_served_ratio,levelised_delivered_electricity_cost,levelised_delivered_electricity_cost_ratio,cost_passenger_km,cost_passenger_km_ratio,lifecycle_emissions_co2,lifecycle_emissions_co2_ratio,total_simulation_period_cost,total_simulation_period_cost_ratio,relised_capacity_factor,relised_capacity_factor_ratio,grid_import_share,grid_import_share_ratio,additional_power_system_land_requirement,additional_power_system_land_requirement_ratio
route_a_solar,1114.0,365,3.81644,1.0,974.940072,1.0,0.034701,1.0,3930323.171616,1.0,20979581.554597,1.0,0.135352,1.0,0.041269,1.0,81.502433,1.0
route_a_nuclear,1114.0,365,0.042245,0.011069216337738835,822.552443,0.8436953886946192,0.029835,0.8597734935592634,2370608.395937,0.6031586443214275,18115137.520938,0.8634651493784752,0.810491,5.988023819374667,0.036378,0.88148489180741,0.994795,0.01220570924551418
route_a_fusion,1114.0,365,0.13863,0.03632442800096425,714.466837,0.7328315426960931,0.025969,0.7483646004437912,2514425.524021,0.6397503243956307,15755275.063485,0.7509813778927701,0.712292,5.262515515101366,0.019587,0.47461775182340254,2.873513,0.03525677570876933
route_b_solar,563.0,365,0.427532,1.0,358.589178,1.0,0.007958,1.0,21513734.317149,1.0,62432560.280405,1.0,0.230941,1.0,0.11806,1.0,76.628107,1.0
route_b_nuclear,563.0,365,0.027705,0.0648021668553465,357.944318,0.9982016746751906,0.008025,1.008419200804222,17284220.748398,0.8034040252426295,62839526.069048,1.0065184862964964,0.812549,3.5184267843301966,0.05225,0.44257157377604606,4.885216,0.06375227303996953
route_b_fusion,563.0,365,0.093547,0.2188070132761992,289.213967,0.8065328926351482,0.00644,0.8092485549132948,17541361.068063,0.81535640486554,50479924.993383,0.80855125541322,0.714442,3.093612654314305,0.029351,0.24861087582585126,17.467571,0.2279525318301286
route_c_solar,110.0,365,3.441722,1.0,475.544045,1.0,0.020557,1.0,21920852.803541,1.0,44322662.870416,1.0,0.193689,1.0,0.025958,1.0,335.097225,1.0
route_c_nuclear,110.0,365,0.054817,0.015927201557824833,487.891998,1.0259659502202367,0.021142,1.028457459746072,17432973.490514,0.7952689453622876,45631283.639938,1.0295248679743803,0.768277,3.9665494684778175,0.04924,1.896910393712921,5.339337,0.015933695064171305
route_c_fusion,110.0,365,0.149929,0.04356220519844427,391.878199,0.8240628878025379,0.016891,0.8216665855912828,16331589.249323,0.7450252686649519,36440087.994057,0.8221547541174388,0.692549,3.575572180144458,0.021397,0.8242930888358118,14.779272,0.04410442969200954
route_avg_solar,595.6666666666666,365,2.561898,1.0,603.0244316666667,1.0,0.021071999999999997,1.0,15788303.430768667,1.0,42578268.23513933,1.0,0.18666066666666667,1.0,0.061762333333333336,1.0,164.409255,1.0
route_avg_nuclear,595.6666666666666,365,0.041588999999999994,0.01623366738254216,556.1295863333334,0.9222339214288163,0.019667333333333332,0.9333396608453557,12362600.878283,0.783022756846086,42195315.743308,0.9910059166869711,0.7971056666666666,4.270346189698954,0.045956,0.7440781058573995,3.7397826666666667,0.022746789203969487
route_avg_fusion,595.6666666666666,365,0.12736866666666669,0.04971652527410018,465.1863343333334,0.7714220351696696,0.01643333333333333,0.7798658567451279,12129125.280469,0.7682348729649722,34225096.016975,0.8038160647578767,0.7064276666666668,3.7845555750006254,0.023444999999999997,0.3796002957573925,11.706785333333334,0.07120514799080706
route_avg_for_all_energy_types,595.6666666666666,365,0.9102852222222223,0.3553167308855475,541.4467841111111,0.897885318866162,0.019057555555555557,0.904401839196828,13426676.529840222,0.8504192099370194,39666226.66514078,0.9316073271482826,0.5633980000000001,3.0183005882331937,0.043721111111111106,0.707892800538264,59.951941,0.36465064573159217
